Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
A deal? Tech support for Furnished 1 bdrm bsmt apt,1750,"York, ON M6C 1J7",3/6/2024 23:21,Basement,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Cable / TVInternet,0,Month-to-month,31-Mar-24,Limited,500,Yes,Yes,Balcony,No,"Laundry (In Unit), Fridge / Freezer",,All furnished and equipped sunny private basement apartment has everything for 1 or 2 adults. Newly renovated with new appliances. Everything included. Rent is negotiable in exchange for tech support by an English speaker for a senior. Please phone to make a deal! 416-871-9704.,331 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/a-deal-tech-support-for-furnished-1-bdrm-bsmt-apt/1687492377
600 Kingston Road - Kingston Estates Apartment for Rent,2279,"600 Kingston Road, Toronto, ON, M4E 1R1",2/24/2024 22:48,Apartment,1,1,,Not Included,0,1 Year,,Yes,706,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Welcome to life in the Upper Beaches neighbourhood. Your rental community at Kingston Estates is conveniently surrounded by a wide selection of shopping, dining and recreational options. Your new home is steps away from The Big Carrot Beach Community Market, you can walk your dog in the wooded ravine trails of Glen Stewart Park, and there are schools, pre-schools and a community center within walking distance. The fun and sun of The Beaches and The Boardwalk along Lake Ontario are less than 10 minutes away by bicycle or car. The TTC stops just steps from your door – so all of Toronto is easily accessible and the nearby Danforth GO station makes commuting a breeze.Your modern and spacious rental apartment features an upgraded kitchen with granite countertops, new appliances, and ceramic floors. Laundry facilities are conveniently located on-site and storage lockers will help you cut down on clutter. Experience the peace of mind of monitored security cameras and a friendly on-site management team – there to deal with any maintenance issues in the building or in your suite. Never hunt for a parking spot – there is dedicated visitor parking for your guests and assigned parking available for you. Kingston Estates is a Certified Rental Building.Your new life is waiting for you at Kingston Estates (600 Kingston Road). Don't keep it waiting for too long! nullBuilding Overivew",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/600-kingston-road-kingston-estates-apartment-for-rent/1686333422
One Bedroom bsmt Apartment Near Finch Station,1550,"North York, ON M2R 1J9",,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,1-Mar-24,No,350,No,Yes,Not Included,Outdoors only,Laundry (In Building),,"AVAILABLE now- Singles only
(If Ad is Up, Room is still available)","2,294 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-bsmt-apartment-near-finch-station/1684548511
1 Bedroom Apartment- North York Don Valley Parkway Brookbanks Dr,2475,"5 and 15 Brookbanks Drive, Toronto, ON, M3A 3R9",2/28/2024 0:08,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,No,Balcony,No,"Laundry (In Building), Fridge / Freezer",Elevator in Building,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today.Realstar's Brookbanks Apartments are well-appointed apartment rental buildings conveniently located at the Don Valley Parkway and Brookbanks Drive. These apartments for rent are in the heart of North York making commuting and running errands easy. Take advantage of the many walking trails in the area, or enjoy sipping coffee from your large balcony taking in the view of beautiful Donalda Park. This vibrant North York neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-north-york-don-valley-parkway-brookbanks-dr/1683740728
Davisville Village Apartments - 1 Bdrm available at 33 Davisvill,2265,"33 Davisville Avenue, Toronto, ON, M4S 2Y9",3/7/2024 0:09,Apartment,1,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-33-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-1-bdrm-available-at-33-davisvill/1665804419
Prince Arthur - 2 Bedroom Apartment for Rent,3400,"20 Prince Arthur Avenue, Toronto, ON, M5R 1B1",3/5/2024 16:00,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,1-Apr-24,Yes,831,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/prince-arthur-2-bedroom-apartment-for-rent/1687348723
"Luxurious fully renovated 3-bdrm, 2-bath private residence",5000,"Grace Street, Toronto, ON",3/12/2024 5:15,House,3,2,"Hydro_No,Heat_No,Water_Yes",Not Included,1,1 Year,1-Mar-24,Yes,"1,600",No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Welcome to your executive class luxury apartment in this beautifully rented 3 bedroom, 2 bathroom private residence. Step through your private front porch and into the front foyer where your toes will be warmed by the heated Travertine floors. Ascend the new oak stairs to meet the floor to ceiling glass wall in your completely renovated oasis in the city. Your custom kitchen includes integrated appliances and natural stone on both countertops and in the wall feature.",163 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxurious-fully-renovated-3-bdrm-2-bath-private-residence/1685884923
Huge 2 Bed Condos 900 Square Feet (Markham + Ellesmere),2850,"Meadowglen Place, Scarborough, ON",3/12/2024 5:00,Condo,2 + Den,2,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,1-Mar-24,Yes,900,No,Yes,Balcony,Outdoors only,Laundry (In Unit),"Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Welcome to 20 Meadowglen Place, an Oversized 2 bed, 2 bathroom residence with an additional den and the convenience of a dedicated parking spot. The Master bedroom boasts an ensuite bathroom with an adjacent balcony. This condo has over 900 sqft of livable space. Nestled in a prime location, this Condo offers a perfect blend of comfort, style, and functionality. The amenities include Gym / Exercise Room, Rooftop Pool & Deck, Party room, and so much more. Be the first to live in this untouched condo",178 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/huge-2-bed-condos-900-square-feet-markham-ellesmere/1685247199
Spacious 2+1 Bedroom Apartment for rent in Downtown Toronto,3500,"55 Mercer St, Toronto, ON M5V 3W2",3/12/2024 4:13,Condo,2 + Den,2,,Not Included,0,1 Year,1-Apr-24,No,700,No,Yes,Not Included,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","**Seeking Two Female Roommates for Prime Downtown Toronto Apartment**
I am currently looking for two female working professionals or students to share a spacious 2-bedroom +1 Den apartment in the heart of Toronto's Entertainment and Theatre District, located at the intersection of Blue Jays Way & King St W. This is a unique opportunity for those who appreciate modern living in a vibrant urban setting.
**Apartment Features:**
- **Location:** Situated on the 6th floor, the apartment offers beautiful south-facing views and is flooded with natural light.
- **Bedrooms:** Two well-appointed bedrooms, each offering privacy and comfort.
- **Bathrooms:** Includes two full bathrooms, ensuring convenience for all residents.
- **Kitchen & Living Area:** An open-concept layout with a fully equipped kitchen featuring high-end built-in appliances, leading into a spacious living and dining area.
- **Amenities:** The building boasts a range of luxury amenities including 24/7 concierge, a fully equipped gym, co-working space, outdoor BBQ area, and more.
**Neighborhood Highlights:**
- **Convenience:** Steps away from public transportation, Rogers Centre, Scotiabank Arena, various theatres, banks, shops, bars, and restaurants.
- **Lifestyle:** Located in a lively area known for its entertainment options, offering easy access to Toronto's best cultural and social scenes.
**Lease Details:**
- **Availability:** Immediate, with flexible viewing times available upon request. 1 year lease agreement at least.
- **Requirements:** Ideal candidates will be non-smokers and ready to provide documentation such as a credit report, employment verification, and references. A $300 key deposit is required upon signing.
**Interested?**
For more information or to arrange a viewing, please contact Rida at rida.zahraslam@gmail.com. Alternatively, feel free to direct message your phone number, and I will reach out to you.
This is a fantastic opportunity for those looking to enjoy downtown Toronto living with all the comforts and conveniences of a modern home. Looking forward to finding the perfect roommates to share this amazing space with!",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-2-1-bedroom-apartment-for-rent-in-downtown-toronto/1687975142
One bedroom basement apartment for rent richmondhill,1850,"North York, ON M2N 0C1",3/12/2024 3:43,Basement,1,1,,Not Included,1,1 Year,11-Mar-24,No,950,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"One bedroom basement apartment separate entrance for rent, very clean, hardwood floor, dush washer , lundry, heating cooling system, close to shopping centre, walmart , costco , close to high rank school bayview secondary, bus top , family oriented, utility 40%",12 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-apartment-for-rent-richmondhill/1687973934
